Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
2.5,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'3',1.41665291786,1.4166529178619385,0.0,'1',2.28197932243,2.2819793224334717,0.0,0.0
2.5,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,1.0,'3',0.950263857841,0.9502638578414917,0.0,'1',2.09716820717,2.097168207168579,0.0,1.0
2.5,Stim\\02_075.jpg,Al75_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al75,75,1.0,'3',1.51667892933,1.5166789293289185,0.0,'1',1.95628905296,1.9562890529632568,0.0,2.0
0.25,Stim\\02_075.jpg,Al75_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al75,75,1.0,'3',1.21670877934,1.216708779335022,0.0,'1',2.45189452171,2.451894521713257,0.0,3.0
0.25,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,1.0,'3',0.700284600258,0.7002846002578735,0.0,'1',2.5977742672,2.5977742671966553,0.0,4.0
0.25,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',0.649986684322,0.6499866843223572,0.0,'1',2.81920027733,2.819200277328491,0.0,5.0
2.5,Stim\\05_028.jpg,En28_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En28,28,1.0,'3',0.800346374512,0.8003463745117188,0.0,'1',1.82951319218,1.8295131921768188,0.0,6.0
0.25,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'3',0.550233244896,0.5502332448959351,0.0,'1',2.10204052925,2.1020405292510986,0.0,7.0
0.25,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,1.0,'3',0.800206243992,0.8002062439918518,0.0,'1',1.87986731529,1.8798673152923584,0.0,8.0
0.25,Stim\\02_078.jpg,Al78_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al78,78,1.0,'3',0.500356554985,0.5003565549850464,0.0,'1',1.83087289333,1.830872893333435,0.0,9.0
0.25,Stim\\05_075.jpg,En75_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En75,75,1.0,'3',0.550285458565,0.5502854585647583,0.0,'1',2.40279603004,2.4027960300445557,0.0,10.0
0.25,Stim\\02_028.jpg,Al28_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al28,28,1.0,'3',0.666350126266,0.6663501262664795,0.0,'1',0.95547246933,0.955472469329834,0.0,11.0
2.5,Stim\\03_075.jpg,Tr75_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr75,75,1.0,'3',0.483718186617,0.4837181866168976,0.0,'1',0.972511589527,0.9725115895271301,0.0,12.0
0.25,Stim\\05_075.jpg,En75_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En75,75,1.0,'3',0.433646023273,0.433646023273468,0.0,'1',2.56612014771,2.566120147705078,0.0,13.0
2.5,Stim\\02_078.jpg,Al78_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al78,78,1.0,'3',0.500168681145,0.5001686811447144,0.0,'1',1.0216345787,1.021634578704834,0.0,14.0
2.5,Stim\\02_028.jpg,Al28_18,Alegría,18,Sofía escucha la música.,Afirmación,Al28,28,1.0,'3',0.483705699444,0.48370569944381714,0.0,'1',1.19106292725,1.1910629272460938,0.0,15.0
2.5,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',0.433849513531,0.4338495135307312,0.0,'1',1.64864301682,1.6486430168151855,0.0,16.0
2.5,Stim\\05_028.jpg,En28_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En28,28,1.0,'3',0.400419294834,0.40041929483413696,0.0,'1',0.972138524055,0.972138524055481,0.0,17.0
0.25,Stim\\03_078.jpg,Tr78_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr78,78,1.0,'3',0.40041795373,0.4004179537296295,0.0,'1',1.21593272686,1.2159327268600464,0.0,18.0
0.25,Stim\\03_019.jpg,Tr19_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr19,19,1.0,'3',0.399933338165,0.3999333381652832,0.0,'1',1.17435181141,1.1743518114089966,0.0,19.0
0.25,Stim\\05_028.jpg,En28_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En28,28,1.0,'3',0.483760595322,0.4837605953216553,0.0,'1',1.11417615414,1.1141761541366577,0.0,20.0
0.25,Stim\\05_019.jpg,En19_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En19,19,1.0,'3',0.333607912064,0.33360791206359863,0.0,'1',1.28702938557,1.2870293855667114,0.0,21.0
0.25,Stim\\02_028.jpg,Al28_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al28,28,1.0,'3',0.333778381348,0.33377838134765625,0.0,'1',0.918507933617,0.9185079336166382,0.0,22.0
2.5,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,1.0,'3',0.450357139111,0.4503571391105652,0.0,'1',1.38182723522,1.3818272352218628,0.0,23.0
2.5,Stim\\05_075.jpg,En75_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En75,75,1.0,'3',0.433640241623,0.4336402416229248,0.0,'1',1.42875337601,1.42875337600708,0.0,24.0
2.5,Stim\\03_075.jpg,Tr75_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr75,75,1.0,'3',0.433864235878,0.4338642358779907,0.0,'1',1.84245431423,1.8424543142318726,0.0,25.0
