Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
0.25,Stim\\02_019.jpg,Al19_19,Alegría,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Al19,19,1.0,'4',1.68352615833,1.6835261583328247,0.0,'1',2.59744381905,2.5974438190460205,0.0,93.0
0.25,Stim\\02_028.jpg,Al28_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al28,28,1.0,'3',0.916667401791,0.9166674017906189,0.0,'1',3.90138936043,3.9013893604278564,0.0,94.0
0.25,Stim\\05_078.jpg,En78_20,Enojo,20,Karen analiza la idea.,Afirmación,En78,78,1.0,'3',1.11725401878,1.1172540187835693,0.0,'1',8.28723239899,8.287232398986816,0.0,95.0
2.5,Stim\\02_019.jpg,Al19_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al19,19,1.0,'3',0.800433456898,0.8004334568977356,0.0,'1',1.25641214848,1.256412148475647,0.0,96.0
0.25,Stim\\03_019.jpg,Tr19_18,Tristeza,18,Sofía escucha la música.,Afirmación,Tr19,19,1.0,'3',0.533634960651,0.5336349606513977,0.0,'1',2.20174384117,2.2017438411712646,0.0,97.0
0.25,Stim\\02_075.jpg,Al75_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al75,75,1.0,'3',0.433643519878,0.43364351987838745,0.0,'1',1.23796021938,1.2379602193832397,0.0,98.0
2.5,Stim\\02_075.jpg,Al75_18,Alegría,18,Sofía escucha la música.,Afirmación,Al75,75,1.0,'3',0.500299870968,0.500299870967865,0.0,'1',1.54045271873,1.5404527187347412,0.0,99.0
2.5,Stim\\05_019.jpg,En19_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En19,19,1.0,'2',0.800287544727,0.8002875447273254,0.0,'1',0.707101404667,0.7071014046669006,0.0,100.0
2.5,Stim\\03_019.jpg,Tr19_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr19,19,1.0,'2',2.23290610313,2.2329061031341553,0.0,'1',1.28140461445,1.2814046144485474,0.0,101.0
2.5,Stim\\05_075.jpg,En75_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En75,75,1.0,'3',1.98322784901,1.9832278490066528,0.0,'1',1.82019865513,1.820198655128479,0.0,102.0
0.25,Stim\\02_019.jpg,Al19_29,Alegría,29,Miriam mira la película.,Afirmación,Al19,19,1.0,'3',0.701166331768,0.7011663317680359,0.0,'1',3.23775053024,3.23775053024292,0.0,103.0
0.25,Stim\\05_078.jpg,En78_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En78,78,1.0,'2',1.01715779305,1.017157793045044,0.0,'1',1.46765828133,1.467658281326294,0.0,104.0
0.25,Stim\\03_028.jpg,Tr28_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr28,28,1.0,'4',0.699555814266,0.6995558142662048,0.0,'1',1.78536188602,1.785361886024475,0.0,105.0
2.5,Stim\\05_028.jpg,En28_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En28,28,1.0,'2',1.5168337822,1.516833782196045,0.0,'1',2.04255509377,2.042555093765259,0.0,106.0
2.5,Stim\\03_019.jpg,Tr19_29,Tristeza,29,Miriam mira la película.,Afirmación,Tr19,19,1.0,'3',2.64946985245,2.6494698524475098,0.0,'1',3.68978738785,3.6897873878479004,0.0,107.0
2.5,Stim\\05_078.jpg,En78_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En78,78,1.0,'2',1.56769025326,1.5676902532577515,0.0,'1',1.22393608093,1.2239360809326172,0.0,108.0
2.5,Stim\\02_028.jpg,Al28_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al28,28,1.0,'3',1.31712579727,1.3171257972717285,0.0,'1',1.48935163021,1.4893516302108765,0.0,109.0
0.25,Stim\\02_075.jpg,Al75_27,Alegría,27,Claudia informa los avances en el reporte.,Afirmación,Al75,75,1.0,'3',0.550222396851,0.5502223968505859,0.0,'1',2.34577536583,2.3457753658294678,0.0,110.0
0.25,Stim\\02_019.jpg,Al19_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al19,19,1.0,'3',0.383659869432,0.38365986943244934,0.0,'1',1.93540215492,1.9354021549224854,0.0,111.0
2.5,Stim\\05_019.jpg,En19_20,Enojo,20,Karen analiza la idea.,Afirmación,En19,19,1.0,'2',0.900206685066,0.9002066850662231,0.0,'1',1.28976905346,1.2897690534591675,0.0,112.0
2.5,Stim\\03_078.jpg,Tr78_22,Tristeza,22,Enrique corre todas las mañanas.,Afirmación,Tr78,78,1.0,'4',1.2668043375,1.2668043375015259,0.0,'1',1.13640201092,1.1364020109176636,0.0,113.0
2.5,Stim\\05_028.jpg,En28_18,Enojo,18,Sofía escucha la música.,Afirmación,En28,28,1.0,'2',1.31692004204,1.3169200420379639,0.0,'1',1.32487130165,1.324871301651001,0.0,114.0
0.25,Stim\\03_075.jpg,Tr75_29,Tristeza,29,Miriam mira la película.,Afirmación,Tr75,75,1.0,'4',1.31688666344,1.3168866634368896,0.0,'1',2.40776824951,2.4077682495117188,0.0,115.0
0.25,Stim\\03_078.jpg,Tr78_24,Tristeza,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Tr78,78,1.0,'4',0.600150763988,0.6001507639884949,0.0,'1',1.98856675625,1.9885667562484741,0.0,116.0
2.5,Stim\\05_075.jpg,En75_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En75,75,1.0,'2',2.43282294273,2.4328229427337646,0.0,'1',2.91554236412,2.9155423641204834,0.0,117.0
2.5,Stim\\03_019.jpg,Tr19_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr19,19,1.0,'3',1.16660487652,1.1666048765182495,0.0,'1',0.771878123283,0.7718781232833862,0.0,118.0
0.25,Stim\\03_078.jpg,Tr78_29,Tristeza,29,Miriam mira la película.,Afirmación,Tr78,78,1.0,'4',0.850270330906,0.8502703309059143,0.0,'1',1.22308373451,1.223083734512329,0.0,119.0

extraInfo
date,2018_jun._11_1154
frameRate,60.0898299131
expName,Experimento Piloto1
session,001
participant,131
