Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
2.5,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'2',0.233873739839,0.23387373983860016,0.0,'1',1.61754906178,1.6175490617752075,0.0,0.0
2.5,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,1.0,'2',0.250433981419,0.2504339814186096,0.0,'1',3.68153214455,3.681532144546509,0.0,1.0
2.5,Stim\\02_075.jpg,Al75_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al75,75,1.0,'3',0.200457856059,0.2004578560590744,0.0,'1',3.1712679863,3.1712679862976074,0.0,2.0
0.25,Stim\\02_075.jpg,Al75_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al75,75,1.0,'3',0.233863025904,0.23386302590370178,0.0,'1',1.4176504612,1.4176504611968994,0.0,3.0
0.25,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,1.0,'2',0.20040743053,0.20040743052959442,0.0,'1',1.01476585865,1.0147658586502075,0.0,4.0
0.25,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',0.283710181713,0.28371018171310425,0.0,'1',1.93621075153,1.9362107515335083,0.0,5.0
2.5,Stim\\05_028.jpg,En28_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En28,28,1.0,'2',1.01680660248,1.0168066024780273,0.0,'1',1.43338596821,1.433385968208313,0.0,6.0
0.25,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'3',0.350258588791,0.35025858879089355,0.0,'1',2.74787330627,2.747873306274414,0.0,7.0
0.25,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,1.0,'3',0.23332709074,0.23332709074020386,0.0,'1',2.07642650604,2.0764265060424805,0.0,8.0
0.25,Stim\\02_078.jpg,Al78_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al78,78,1.0,'3',0.233739420772,0.23373942077159882,0.0,'1',1.48089933395,1.4808993339538574,0.0,9.0
0.25,Stim\\05_075.jpg,En75_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En75,75,1.0,'2',0.350424170494,0.3504241704940796,0.0,'1',1.12007713318,1.120077133178711,0.0,10.0
0.25,Stim\\02_028.jpg,Al28_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al28,28,1.0,'3',0.25045761466,0.25045761466026306,0.0,'1',2.13872671127,2.1387267112731934,0.0,11.0
2.5,Stim\\03_075.jpg,Tr75_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr75,75,1.0,'4',0.500394940376,0.5003949403762817,0.0,'1',2.60367226601,2.6036722660064697,0.0,12.0
0.25,Stim\\05_075.jpg,En75_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En75,75,1.0,'4',0.299897819757,0.29989781975746155,0.0,'1',1.93215119839,1.932151198387146,0.0,13.0
2.5,Stim\\02_078.jpg,Al78_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al78,78,1.0,'3',0.633656442165,0.6336564421653748,0.0,'1',3.95349621773,3.953496217727661,0.0,14.0
2.5,Stim\\02_028.jpg,Al28_18,Alegría,18,Sofía escucha la música.,Afirmación,Al28,28,1.0,'3',0.233837142587,0.23383714258670807,0.0,'1',1.65808975697,1.6580897569656372,0.0,15.0
2.5,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',0.750262141228,0.7502621412277222,0.0,'1',3.06981039047,3.069810390472412,0.0,16.0
2.5,Stim\\05_028.jpg,En28_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En28,28,1.0,'2',0.30033916235,0.3003391623497009,0.0,'1',1.3381742239,1.3381742238998413,0.0,17.0
0.25,Stim\\03_078.jpg,Tr78_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr78,78,1.0,'2',0.300361454487,0.3003614544868469,0.0,'1',1.46480226517,1.4648022651672363,0.0,18.0
0.25,Stim\\03_019.jpg,Tr19_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr19,19,1.0,'3',0.283823996782,0.28382399678230286,0.0,'1',2.40470170975,2.4047017097473145,0.0,19.0
0.25,Stim\\05_028.jpg,En28_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En28,28,1.0,'2',0.283704847097,0.28370484709739685,0.0,'1',3.73093080521,3.730930805206299,0.0,20.0
0.25,Stim\\05_019.jpg,En19_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En19,19,1.0,'2',0.200071394444,0.20007139444351196,0.0,'1',1.02200984955,1.0220098495483398,0.0,21.0
0.25,Stim\\02_028.jpg,Al28_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al28,28,1.0,'3',0.233730047941,0.23373004794120789,0.0,'1',1.4679942131,1.467994213104248,0.0,22.0
2.5,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,1.0,'3',0.450263053179,0.45026305317878723,0.0,'1',1.53161036968,1.531610369682312,0.0,23.0
2.5,Stim\\05_075.jpg,En75_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En75,75,1.0,'2',0.233796983957,0.23379698395729065,0.0,'1',0.7655813694,0.7655813694000244,0.0,24.0
2.5,Stim\\03_075.jpg,Tr75_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr75,75,1.0,'4',0.850321531296,0.8503215312957764,0.0,'1',1.9968713522,1.9968713521957397,0.0,25.0
2.5,Stim\\03_028.jpg,Tr28_24,Tristeza,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Tr28,28,1.0,'4',2.19977331161,2.1997733116149902,0.0,'1',2.18543052673,2.1854305267333984,0.0,26.0
