Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,date,frameRate,expName,session,participant,
2.5,Stim\\03_028.jpg,Tr28_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr28,28,,,,,0,0,0,0,,,,,,,,,1,2.48292991817,4,1.58323162609,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
0.25,Stim\\03_019.jpg,Tr19_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr19,19,,,,,0,1,1,1,,,,,,,,,1,2.71631467409,3,3.01619967611,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
2.5,Stim\\03_078.jpg,Tr78_10,Tristeza,10,Laura finaliza la obra.,Afirmación,Tr78,78,,,,,0,2,2,2,,,,,,,,,1,1.93986056551,4,1.41667332319,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
0.25,Stim\\02_075.jpg,Al75_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,1,2.76556834749,3,1.11637911223,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
0.25,Stim\\02_019.jpg,Al19_15,Alegría,15,Ángel envía una carta a la abuela.,Afirmación,Al19,19,,,,,0,4,4,4,,,,,,,,,1,2.28374735431,3,1.26678013253,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
2.5,Stim\\02_075.jpg,Al75_7,Alegría,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Al75,75,,,,,0,5,5,5,,,,,,,,,1,1.99348791049,3,1.00014146045,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
0.25,Stim\\03_075.jpg,Tr75_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr75,75,,,,,0,6,6,6,,,,,,,,,1,2.61703174917,4,1.36670565382,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
0.25,Stim\\02_019.jpg,Al19_11,Alegría,11,María asiste a la cena.,Afirmación,Al19,19,,,,,0,7,7,7,,,,,,,,,1,1.99148738302,3,1.01680568019,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
2.5,Stim\\02_019.jpg,Al19_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al19,19,,,,,0,8,8,8,,,,,,,,,1,1.02523038642,3,1.51677823597,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
2.5,Stim\\05_075.jpg,En75_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En75,75,,,,,0,9,9,9,,,,,,,,,1,1.94916973425,2,3.26631068018,,,,,,,,,2018_may._11_1546,60.0033470429,Experimento Piloto1,001,121,
