Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque2.keys_raw,Resp_Bloque2.rt_mean,Resp_Bloque2.rt_raw,Resp_Bloque2.rt_std,Sig_B2.keys_raw,Sig_B2.rt_mean,Sig_B2.rt_raw,Sig_B2.rt_std,order
2.5,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,1.0,'3',4.34936189651,4.349361896514893,0.0,'1',9.70478916168,9.704789161682129,0.0,0.0
2.5,Stim\\05_019.jpg,En19_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En19,19,1.0,'3',3.76610016823,3.7661001682281494,0.0,'1',8.95844936371,8.958449363708496,0.0,1.0
0.25,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,1.0,'3',3.7820789814,3.782078981399536,0.0,'1',5.65308761597,5.653087615966797,0.0,2.0
2.5,Stim\\02_075.jpg,Al75_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al75,75,1.0,'2',11.2136564255,11.213656425476074,0.0,'1',11.7651987076,11.765198707580566,0.0,3.0
0.25,Stim\\05_075.jpg,En75_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En75,75,1.0,'3',4.49951028824,4.499510288238525,0.0,'1',7.21050024033,7.210500240325928,0.0,4.0
2.5,Stim\\02_019.jpg,Al19_29,Alegría,29,Miriam mira la película.,Afirmación,Al19,19,1.0,'3',2.89919233322,2.8991923332214355,0.0,'1',6.71452856064,6.714528560638428,0.0,5.0
2.5,Stim\\02_078.jpg,Al78_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al78,78,1.0,'3',5.56563663483,5.56563663482666,0.0,'1',9.88593482971,9.885934829711914,0.0,6.0
0.25,Stim\\05_028.jpg,En28_20,Enojo,20,Karen analiza la idea.,Afirmación,En28,28,1.0,'3',2.38305163383,2.383051633834839,0.0,'1',6.82047510147,6.820475101470947,0.0,7.0
0.25,Stim\\03_078.jpg,Tr78_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr78,78,1.0,'3',1.36678051949,1.3667805194854736,0.0,'1',10.3646869659,10.364686965942383,0.0,8.0
0.25,Stim\\02_019.jpg,Al19_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al19,19,1.0,'3',1.93334639072,1.9333463907241821,0.0,'1',11.2093105316,11.209310531616211,0.0,9.0
2.5,Stim\\02_019.jpg,Al19_19,Alegría,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Al19,19,1.0,'3',1.76609253883,1.7660925388336182,0.0,'1',5.22968244553,5.229682445526123,0.0,10.0
0.25,Stim\\02_028.jpg,Al28_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al28,28,1.0,'3',3.09963035583,3.099630355834961,0.0,'1',8.66152191162,8.661521911621094,0.0,11.0
