Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,date,frameRate,expName,session,participant,
2.5,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,,,,,0,0,0,0,,,,,,,,,1,9.50565173193,3,3.76655870438,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
2.5,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,,,,,0,1,1,1,,,,,,,,,1,7.32324158175,2,1.88264478742,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
2.5,Stim\\02_075.jpg,Al75_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al75,75,,,,,0,2,2,2,,,,,,,,,1,5.43568003299,3,0.584410055576,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
0.25,Stim\\02_075.jpg,Al75_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,1,7.32440271926,3,0.60069498676,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
0.25,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,,,,,0,4,4,4,,,,,,,,,1,4.23962763275,2,0.499891561717,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
0.25,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,,,,,0,5,5,5,,,,,,,,,1,3.63400829843,4,4.58222611747,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
2.5,Stim\\05_028.jpg,En28_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En28,28,,,,,0,6,6,6,,,,,,,,,1,7.94252458604,2,0.60054147742,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
0.25,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,,,,,0,7,7,7,,,,,,,,,1,3.46680226658,3,0.600788698857,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
0.25,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,,,,,0,8,8,8,,,,,,,,,1,2.43785683112,3,0.966102549594,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
0.25,Stim\\02_078.jpg,Al78_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al78,78,,,,,0,9,9,9,,,,,,,,,1,2.49507699118,3,0.499912981625,,,,,,,,,2018_jun._15_1149,60.0132297095,Experimento Piloto1,001,136,
