Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Resp_Bloque3.keys,Resp_Bloque3.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,date,frameRate,expName,session,participant,
0.25,Stim\\02_075.jpg,Al75_11,Alegría,11,María asiste a la cena.,Afirmación,Al75,75,,,,,0,0,0,0,,,,,,,,,3,1.98321840219,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\03_019.jpg,Tr19_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr19,19,,,,,0,1,1,1,,,,,,,,,3,7.31585201885,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_075.jpg,Al75_8,Alegría,8,Estefanía despierta a las 7 a.m.,Afirmación,Al75,75,,,,,0,2,2,2,,,,,,,,,3,2.74982183553,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\03_075.jpg,Tr75_13,Tristeza,13,Rocío consume alimentos nutritivos.,Afirmación,Tr75,75,,,,,0,3,3,3,,,,,,,,,4,3.3660339318,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\03_019.jpg,Tr19_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr19,19,,,,,0,4,4,4,,,,,,,,,4,1.98373069476,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_075.jpg,En75_11,Enojo,11,María asiste a la cena.,Afirmación,En75,75,,,,,0,5,5,5,,,,,,,,,2,0.916715419248,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_028.jpg,En28_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En28,28,,,,,0,6,6,6,,,,,,,,,2,1.30015971212,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_028.jpg,En28_9,Enojo,9,Marco colabora en la organización del evento.,Afirmación,En28,28,,,,,0,7,7,7,,,,,,,,,2,1.01717741968,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\03_075.jpg,Tr75_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr75,75,,,,,0,8,8,8,,,,,,,,,4,1.06715004237,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_028.jpg,En28_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En28,28,,,,,0,9,9,9,,,,,,,,,2,1.53415469718,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\03_078.jpg,Tr78_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr78,78,,,,,0,10,10,10,,,,,,,,,4,0.916360652182,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\02_075.jpg,Al75_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al75,75,,,,,0,11,11,11,,,,,,,,,3,0.950303158498,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_078.jpg,En78_11,Enojo,11,María asiste a la cena.,Afirmación,En78,78,,,,,0,12,12,12,,,,,,,,,4,1.36669393241,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\03_028.jpg,Tr28_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr28,28,,,,,0,13,13,13,,,,,,,,,4,0.900254227417,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_019.jpg,Al19_3,Alegría,3,Andrea diseña la portada del libro.,Afirmación,Al19,19,,,,,0,14,14,14,,,,,,,,,3,0.650159511305,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_019.jpg,En19_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En19,19,,,,,0,15,15,15,,,,,,,,,2,1.76687162832,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\02_028.jpg,Al28_11,Alegría,11,María asiste a la cena.,Afirmación,Al28,28,,,,,0,16,16,16,,,,,,,,,3,0.550464610981,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\03_019.jpg,Tr19_11,Tristeza,11,María asiste a la cena.,Afirmación,Tr19,19,,,,,0,17,17,17,,,,,,,,,4,2.39946637678,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\03_078.jpg,Tr78_14,Tristeza,14,Elizabeth elige la ropa un día antes.,Afirmación,Tr78,78,,,,,0,18,18,18,,,,,,,,,4,1.366781397,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\02_019.jpg,Al19_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al19,19,,,,,0,19,19,19,,,,,,,,,3,1.11672416571,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_075.jpg,Al75_11,Alegría,11,María asiste a la cena.,Afirmación,Al75,75,,,,,0,20,20,20,,,,,,,,,3,0.600145833807,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\02_028.jpg,Al28_4,Alegría,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Al28,28,,,,,0,21,21,21,,,,,,,,,3,0.600361817782,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_075.jpg,Al75_10,Alegría,10,Laura finaliza la obra.,Afirmación,Al75,75,,,,,0,22,22,22,,,,,,,,,3,0.700351241707,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_075.jpg,En75_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En75,75,,,,,0,23,23,23,,,,,,,,,2,1.63318468816,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_028.jpg,Al28_11,Alegría,11,María asiste a la cena.,Afirmación,Al28,28,,,,,0,24,24,24,,,,,,,,,3,1.98316529869,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\02_078.jpg,Al78_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al78,78,,,,,0,25,25,25,,,,,,,,,3,0.650398700169,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_019.jpg,Al19_7,Alegría,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Al19,19,,,,,0,26,26,26,,,,,,,,,3,0.55073012847,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_028.jpg,En28_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En28,28,,,,,0,27,27,27,,,,,,,,,2,0.966580049953,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\03_075.jpg,Tr75_2,Tristeza,2,Jonathan pasea al perro.,Afirmación,Tr75,75,,,,,0,28,28,28,,,,,,,,,4,0.916851971099,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_075.jpg,En75_3,Enojo,3,Andrea diseña la portada del libro.,Afirmación,En75,75,,,,,0,29,29,29,,,,,,,,,2,1.06701973799,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_028.jpg,En28_10,Enojo,10,Laura finaliza la obra.,Afirmación,En28,28,,,,,0,30,30,30,,,,,,,,,2,0.900048953393,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_019.jpg,En19_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En19,19,,,,,0,31,31,31,,,,,,,,,2,1.10028394753,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_078.jpg,Al78_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al78,78,,,,,0,32,32,32,,,,,,,,,3,0.500311704145,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_075.jpg,En75_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En75,75,,,,,0,33,33,33,,,,,,,,,2,0.850237426185,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_019.jpg,Al19_12,Alegría,12,Ana compra el libro.,Afirmación,Al19,19,,,,,0,34,34,34,,,,,,,,,3,0.916834121184,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_075.jpg,En75_8,Enojo,8,Estefanía despierta a las 7 a.m.,Afirmación,En75,75,,,,,0,35,35,35,,,,,,,,,2,1.26679375806,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\03_028.jpg,Tr28_4,Tristeza,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Tr28,28,,,,,0,36,36,36,,,,,,,,,4,0.800417420268,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\03_078.jpg,Tr78_12,Tristeza,12,Ana compra el libro.,Afirmación,Tr78,78,,,,,0,37,37,37,,,,,,,,,4,1.05012390072,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\03_019.jpg,Tr19_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr19,19,,,,,0,38,38,38,,,,,,,,,4,0.500344726488,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_075.jpg,En75_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En75,75,,,,,0,39,39,39,,,,,,,,,2,0.70007055179,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_078.jpg,En78_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En78,78,,,,,0,40,40,40,,,,,,,,,2,0.866452289185,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\03_078.jpg,Tr78_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr78,78,,,,,0,41,41,41,,,,,,,,,4,0.549966152098,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_078.jpg,En78_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En78,78,,,,,0,42,42,42,,,,,,,,,2,0.700346332981,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_078.jpg,En78_2,Enojo,2,Jonathan pasea al perro.,Afirmación,En78,78,,,,,0,43,43,43,,,,,,,,,2,0.750212302429,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\02_078.jpg,Al78_4,Alegría,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Al78,78,,,,,0,44,44,44,,,,,,,,,3,1.11664562608,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
2.5,Stim\\05_078.jpg,En78_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En78,78,,,,,0,45,45,45,,,,,,,,,2,0.866907908271,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_019.jpg,En19_9,Enojo,9,Marco colabora en la organización del evento.,Afirmación,En19,19,,,,,0,46,46,46,,,,,,,,,2,0.950316099686,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
0.25,Stim\\05_019.jpg,En19_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En19,19,,,,,0,47,47,47,,,,,,,,,2,0.500126511274,,,,,2018_may._03_1018,59.9719797998,Experimento Piloto1,001,103,
