Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
2.5,Stim\\03_019.jpg,Tr19_18,Tristeza,18,Sofía escucha la música.,Afirmación,Tr19,19,,,,,,,,,0,61,61,61,,,,,,,,,1,3.34002065234,4,0.583834320731,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_078.jpg,Tr78_23,Tristeza,23,Óscar consigue un nuevo departamento.,Afirmación,Tr78,78,,,,,,,,,0,62,62,62,,,,,,,,,1,2.81609419039,3,1.73325500199,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_019.jpg,Tr19_25,Tristeza,25,Luis decide la comida siguiente.,Afirmación,Tr19,19,,,,,,,,,0,63,63,63,,,,,,,,,1,1.48382084405,2,0.900127537588,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_028.jpg,Al28_29,Alegría,29,Miriam mira la película.,Afirmación,Al28,28,,,,,,,,,0,64,64,64,,,,,,,,,1,1.12035344601,3,0.550360389628,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_019.jpg,Al19_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al19,19,,,,,,,,,0,65,65,65,,,,,,,,,1,1.12285466427,3,0.550478645263,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_078.jpg,Al78_25,Alegría,25,Luis decide la comida siguiente.,Afirmación,Al78,78,,,,,,,,,0,66,66,66,,,,,,,,,1,0.867998596997,3,0.550296129962,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_075.jpg,En75_29,Enojo,29,Miriam mira la película.,Afirmación,En75,75,,,,,,,,,0,67,67,67,,,,,,,,,1,0.765762806862,2,0.950123789106,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_028.jpg,Tr28_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr28,28,,,,,,,,,0,68,68,68,,,,,,,,,1,1.22544656006,4,0.700275067072,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_075.jpg,Al75_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al75,75,,,,,,,,,0,69,69,69,,,,,,,,,1,0.918538378193,3,0.600484714232,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_019.jpg,En19_20,Enojo,20,Karen analiza la idea.,Afirmación,En19,19,,,,,,,,,0,70,70,70,,,,,,,,,1,3.3918572293,2,1.3166024665,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
