Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,date,frameRate,expName,session,participant,
2.5,Stim\\05_028.jpg,En28_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En28,28,,,,,0,0,0,0,,,,,,,,,1,5.98115808413,2,2.69977705466,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
2.5,Stim\\05_028.jpg,En28_29,Enojo,29,Miriam mira la película.,Afirmación,En28,28,,,,,0,1,1,1,,,,,,,,,1,4.20726285952,2,5.16550300146,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
0.25,Stim\\03_028.jpg,Tr28_29,Tristeza,29,Miriam mira la película.,Afirmación,Tr28,28,,,,,0,2,2,2,,,,,,,,,1,2.61647109118,3,3.31615220259,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
2.5,Stim\\02_075.jpg,Al75_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,1,7.79802651425,3,0.533742572207,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
2.5,Stim\\05_019.jpg,En19_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En19,19,,,,,0,4,4,4,,,,,,,,,1,6.09307923395,3,1.83328141985,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
2.5,Stim\\02_028.jpg,Al28_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al28,28,,,,,0,5,5,5,,,,,,,,,1,3.34946860826,3,1.10021518063,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
0.25,Stim\\05_075.jpg,En75_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En75,75,,,,,0,6,6,6,,,,,,,,,1,6.34025493238,2,1.26673250307,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
2.5,Stim\\03_078.jpg,Tr78_23,Tristeza,23,Óscar consigue un nuevo departamento.,Afirmación,Tr78,78,,,,,0,7,7,7,,,,,,,,,1,4.0473156417,4,1.31662879511,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
0.25,Stim\\05_075.jpg,En75_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En75,75,,,,,0,8,8,8,,,,,,,,,1,5.98465398847,4,0.40036761884,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
0.25,Stim\\02_078.jpg,Al78_23,Alegría,23,Óscar consigue un nuevo departamento.,Afirmación,Al78,78,,,,,0,9,9,9,,,,,,,,,1,2.43924293188,3,4.69896845386,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
2.5,Stim\\05_078.jpg,En78_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En78,78,,,,,0,10,10,10,,,,,,,,,1,2.34141249886,2,3.73269853113,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
2.5,Stim\\03_028.jpg,Tr28_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr28,28,,,,,0,11,11,11,,,,,,,,,1,21.2653326241,3,0.800318442346,,,,,,,,,2018_jun._13_1556,60.0375618551,Experimento Piloto1,001,133,
