Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
2.5,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'2',0.900359153748,0.9003591537475586,0.0,'1',4.08466434479,4.084664344787598,0.0,0.0
2.5,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,1.0,'2',2.03316521645,2.033165216445923,0.0,'1',3.94692730904,3.946927309036255,0.0,1.0
2.5,Stim\\02_075.jpg,Al75_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al75,75,1.0,'2',2.08322525024,2.0832252502441406,0.0,'1',0.922271251678,0.9222712516784668,0.0,2.0
0.25,Stim\\02_075.jpg,Al75_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al75,75,1.0,'2',0.333708465099,0.3337084650993347,0.0,'1',1.43583488464,1.4358348846435547,0.0,3.0
0.25,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,1.0,'2',0.600165188313,0.6001651883125305,0.0,'1',1.16613984108,1.166139841079712,0.0,4.0
0.25,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',0.283561855555,0.2835618555545807,0.0,'1',1.07017958164,1.0701795816421509,0.0,5.0
2.5,Stim\\05_028.jpg,En28_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En28,28,1.0,'2',1.68336582184,1.683365821838379,0.0,'1',4.14855670929,4.148556709289551,0.0,6.0
0.25,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'2',1.16675066948,1.1667506694793701,0.0,'1',1.16841292381,1.1684129238128662,0.0,7.0
0.25,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,1.0,'3',1.61652374268,1.6165237426757812,0.0,'1',1.6804536581,1.6804536581039429,0.0,8.0
0.25,Stim\\02_078.jpg,Al78_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al78,78,1.0,'2',1.00012540817,1.0001254081726074,0.0,'1',0.918519616127,0.9185196161270142,0.0,9.0
0.25,Stim\\05_075.jpg,En75_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En75,75,1.0,'3',0.966899573803,0.966899573802948,0.0,'1',1.07008361816,1.0700836181640625,0.0,10.0
0.25,Stim\\02_028.jpg,Al28_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al28,28,1.0,'2',0.650397539139,0.650397539138794,0.0,'1',3.57138800621,3.571388006210327,0.0,11.0
2.5,Stim\\03_075.jpg,Tr75_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr75,75,1.0,'2',3.98251652718,3.9825165271759033,0.0,'1',2.52131271362,2.521312713623047,0.0,12.0
0.25,Stim\\05_075.jpg,En75_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En75,75,1.0,'2',0.483703047037,0.48370304703712463,0.0,'1',1.68363630772,1.6836363077163696,0.0,13.0
2.5,Stim\\02_078.jpg,Al78_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al78,78,1.0,'3',4.99897623062,4.998976230621338,0.0,'1',2.47125148773,2.4712514877319336,0.0,14.0
2.5,Stim\\02_028.jpg,Al28_18,Alegría,18,Sofía escucha la música.,Afirmación,Al28,28,1.0,'3',1.26637864113,1.26637864112854,0.0,'1',1.09080958366,1.0908095836639404,0.0,15.0
2.5,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',1.21667730808,1.2166773080825806,0.0,'1',2.13299751282,2.132997512817383,0.0,16.0
2.5,Stim\\05_028.jpg,En28_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En28,28,1.0,'2',4.64909887314,4.649098873138428,0.0,'1',1.18807375431,1.188073754310608,0.0,17.0
0.25,Stim\\03_078.jpg,Tr78_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr78,78,1.0,'3',4.84890604019,4.84890604019165,0.0,'1',2.34819579124,2.348195791244507,0.0,18.0
