Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,date,frameRate,expName,session,participant,
2.5,Stim\\05_028.jpg,En28_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En28,28,,,,,0,0,0,0,,,,,,,,,1,3.880921983,2,1.14993826166,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\05_028.jpg,En28_29,Enojo,29,Miriam mira la película.,Afirmación,En28,28,,,,,0,1,1,1,,,,,,,,,1,5.80565252761,2,1.05026174646,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\03_028.jpg,Tr28_29,Tristeza,29,Miriam mira la película.,Afirmación,Tr28,28,,,,,0,2,2,2,,,,,,,,,1,3.84942048071,4,2.39967352534,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\02_075.jpg,Al75_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,1,4.34926987218,3,2.24963173427,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\05_019.jpg,En19_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En19,19,,,,,0,4,4,4,,,,,,,,,1,5.36011859473,2,1.21688921772,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\02_028.jpg,Al28_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al28,28,,,,,0,5,5,5,,,,,,,,,1,3.69943134683,3,0.967018294808,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\05_075.jpg,En75_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En75,75,,,,,0,6,6,6,,,,,,,,,1,3.92217086905,2,0.450327969587,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\03_078.jpg,Tr78_23,Tristeza,23,Óscar consigue un nuevo departamento.,Afirmación,Tr78,78,,,,,0,7,7,7,,,,,,,,,1,8.593839375,4,1.11687712442,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\05_075.jpg,En75_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En75,75,,,,,0,8,8,8,,,,,,,,,1,4.81659228465,2,1.93314944962,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_078.jpg,Al78_23,Alegría,23,Óscar consigue un nuevo departamento.,Afirmación,Al78,78,,,,,0,9,9,9,,,,,,,,,1,4.64776972202,3,1.83324133198,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\05_078.jpg,En78_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En78,78,,,,,0,10,10,10,,,,,,,,,1,3.86203634329,2,0.916593668016,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\03_028.jpg,Tr28_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr28,28,,,,,0,11,11,11,,,,,,,,,1,2.50360277905,4,3.01610819538,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_019.jpg,Al19_20,Alegría,20,Karen analiza la idea.,Afirmación,Al19,19,,,,,0,12,12,12,,,,,,,,,1,3.57237710233,3,0.966886205553,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\05_078.jpg,En78_27,Enojo,27,Claudia informa los avances en el reporte.,Afirmación,En78,78,,,,,0,13,13,13,,,,,,,,,1,1.92681139662,2,1.31651709195,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\05_028.jpg,En28_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En28,28,,,,,0,14,14,14,,,,,,,,,1,7.06862170664,2,0.866686242057,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\03_078.jpg,Tr78_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr78,78,,,,,0,15,15,15,,,,,,,,,1,3.31428853202,4,1.53357231374,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\03_028.jpg,Tr28_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr28,28,,,,,0,16,16,16,,,,,,,,,1,2.12885217561,4,1.21658130696,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_075.jpg,Al75_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al75,75,,,,,0,17,17,17,,,,,,,,,1,1.6729800273,3,1.00009326572,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_019.jpg,Al19_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al19,19,,,,,0,18,18,18,,,,,,,,,1,1.43409839489,3,0.650382947277,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\02_028.jpg,Al28_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al28,28,,,,,0,19,19,19,,,,,,,,,1,2.39782338328,3,0.650429803263,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\05_078.jpg,En78_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En78,78,,,,,0,20,20,20,,,,,,,,,1,1.53395296284,2,1.36651555239,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_075.jpg,Al75_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al75,75,,,,,0,21,21,21,,,,,,,,,1,2.76702668426,3,0.482492595638,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\03_075.jpg,Tr75_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr75,75,,,,,0,22,22,22,,,,,,,,,1,1.18159639682,4,0.600414385412,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\05_075.jpg,En75_18,Enojo,18,Sofía escucha la música.,Afirmación,En75,75,,,,,0,23,23,23,,,,,,,,,1,2.24029802192,2,0.600334507113,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\02_075.jpg,Al75_25,Alegría,25,Luis decide la comida siguiente.,Afirmación,Al75,75,,,,,0,24,24,24,,,,,,,,,1,1.13008783489,3,1.21632873088,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_028.jpg,Al28_18,Alegría,18,Sofía escucha la música.,Afirmación,Al28,28,,,,,0,25,25,25,,,,,,,,,1,3.22321477579,3,2.08314259972,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_028.jpg,Al28_23,Alegría,23,Óscar consigue un nuevo departamento.,Afirmación,Al28,28,,,,,0,26,26,26,,,,,,,,,1,2.29898759834,3,0.483368579447,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_075.jpg,Al75_19,Alegría,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Al75,75,,,,,0,27,27,27,,,,,,,,,1,1.53070695865,3,0.400254985812,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\05_019.jpg,En19_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En19,19,,,,,0,28,28,28,,,,,,,,,1,1.21467583021,2,0.700214511165,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\02_019.jpg,Al19_25,Alegría,25,Luis decide la comida siguiente.,Afirmación,Al19,19,,,,,0,29,29,29,,,,,,,,,1,3.68024582881,3,1.01689805342,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_078.jpg,Al78_27,Alegría,27,Claudia informa los avances en el reporte.,Afirmación,Al78,78,,,,,0,30,30,30,,,,,,,,,1,1.82911532775,3,0.700239947272,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\03_019.jpg,Tr19_22,Tristeza,22,Enrique corre todas las mañanas.,Afirmación,Tr19,19,,,,,0,31,31,31,,,,,,,,,1,3.93480368904,2,0.700282340782,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\05_019.jpg,En19_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En19,19,,,,,0,32,32,32,,,,,,,,,1,0.934399835067,2,0.950186286012,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\02_078.jpg,Al78_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al78,78,,,,,0,33,33,33,,,,,,,,,1,1.60001320893,3,0.600252397577,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\05_078.jpg,En78_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En78,78,,,,,0,34,34,34,,,,,,,,,1,3.21454552595,2,0.85016616025,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\05_078.jpg,En78_21,Enojo,21,Mauro anuncia la actividad.,Afirmación,En78,78,,,,,0,35,35,35,,,,,,,,,1,2.40530695356,2,0.600435359044,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\03_078.jpg,Tr78_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr78,78,,,,,0,36,36,36,,,,,,,,,1,2.05859809568,4,0.800337720095,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\03_078.jpg,Tr78_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr78,78,,,,,0,37,37,37,,,,,,,,,1,2.39925896143,4,0.450317259648,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\03_028.jpg,Tr28_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr28,28,,,,,0,38,38,38,,,,,,,,,1,1.83190839075,4,0.600510328622,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_028.jpg,Al28_27,Alegría,27,Claudia informa los avances en el reporte.,Afirmación,Al28,28,,,,,0,39,39,39,,,,,,,,,1,4.19499497749,3,0.650250858022,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\02_019.jpg,Al19_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al19,19,,,,,0,40,40,40,,,,,,,,,1,1.53708829765,3,0.383671983111,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_019.jpg,Al19_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al19,19,,,,,0,41,41,41,,,,,,,,,1,3.01434105535,3,0.700140880331,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
2.5,Stim\\03_075.jpg,Tr75_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr75,75,,,,,0,42,42,42,,,,,,,,,1,1.85454786428,4,1.36675072482,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\03_075.jpg,Tr75_26,Tristeza,26,Víctor trae el café a Marco.,Afirmación,Tr75,75,,,,,0,43,43,43,,,,,,,,,1,5.11991651602,4,1.36726569441,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
0.25,Stim\\02_075.jpg,Al75_18,Alegría,18,Sofía escucha la música.,Afirmación,Al75,75,,,,,0,44,44,44,,,,,,,,,1,1.42402123424,3,0.500498681562,,,,,,,,,2018_jun._28_1205,60.0027043816,Experimento Piloto1,001,139,
