Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
2.5,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'3',0.284261375666,0.2842613756656647,0.0,'1',1.04651021957,1.0465102195739746,0.0,0.0
2.5,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,1.0,'2',0.967906713486,0.9679067134857178,0.0,'1',0.808572947979,0.8085729479789734,0.0,1.0
2.5,Stim\\02_075.jpg,Al75_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al75,75,1.0,'3',0.299744844437,0.2997448444366455,0.0,'1',1.01418840885,1.0141884088516235,0.0,2.0
0.25,Stim\\02_075.jpg,Al75_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al75,75,1.0,'3',0.133832037449,0.13383203744888306,0.0,'1',0.742126643658,0.7421266436576843,0.0,3.0
0.25,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,1.0,'2',0.333465576172,0.333465576171875,0.0,'1',0.848355531693,0.8483555316925049,0.0,4.0
0.25,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'3',0.0842145979404,0.08421459794044495,0.0,'1',0.563075840473,0.563075840473175,0.0,5.0
2.5,Stim\\05_028.jpg,En28_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En28,28,1.0,'3',0.283227413893,0.28322741389274597,0.0,'1',0.908382117748,0.9083821177482605,0.0,6.0
0.25,Stim\\03_019.jpg,Tr19_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr19,19,1.0,'3',0.400218486786,0.40021848678588867,0.0,'1',0.441487073898,0.44148707389831543,0.0,7.0
0.25,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,1.0,'3',0.200177520514,0.20017752051353455,0.0,'1',0.840236961842,0.8402369618415833,0.0,8.0
0.25,Stim\\02_078.jpg,Al78_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al78,78,1.0,'3',0.183602526784,0.18360252678394318,0.0,'1',0.544952332973,0.5449523329734802,0.0,9.0
0.25,Stim\\05_075.jpg,En75_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En75,75,1.0,'2',0.550421595573,0.5504215955734253,0.0,'1',0.343386113644,0.34338611364364624,0.0,10.0
0.25,Stim\\02_028.jpg,Al28_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al28,28,1.0,'2',0.284943670034,0.28494367003440857,0.0,'1',0.553031682968,0.5530316829681396,0.0,11.0
2.5,Stim\\03_075.jpg,Tr75_28,Tristeza,28,Antonio responde la pregunta.,Afirmación,Tr75,75,1.0,'4',0.251023024321,0.2510230243206024,0.0,'1',0.804498255253,0.8044982552528381,0.0,12.0
0.25,Stim\\05_075.jpg,En75_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En75,75,1.0,'2',0.23380766809,0.23380766808986664,0.0,'1',1.05946207047,1.059462070465088,0.0,13.0
2.5,Stim\\02_078.jpg,Al78_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al78,78,1.0,'3',0.183855548501,0.1838555485010147,0.0,'1',0.561324298382,0.5613242983818054,0.0,14.0
2.5,Stim\\02_028.jpg,Al28_18,Alegría,18,Sofía escucha la música.,Afirmación,Al28,28,1.0,'3',0.200474277139,0.20047427713871002,0.0,'1',1.73115205765,1.731152057647705,0.0,15.0
2.5,Stim\\02_019.jpg,Al19_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al19,19,1.0,'2',0.500847876072,0.5008478760719299,0.0,'1',0.497213184834,0.4972131848335266,0.0,16.0
2.5,Stim\\05_028.jpg,En28_28,Enojo,28,Antonio responde la pregunta.,Afirmación,En28,28,1.0,'3',0.818032979965,0.81803297996521,0.0,'1',0.647265911102,0.6472659111022949,0.0,17.0
0.25,Stim\\03_078.jpg,Tr78_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr78,78,1.0,'3',0.534295976162,0.5342959761619568,0.0,'1',1.00568604469,1.0056860446929932,0.0,18.0
0.25,Stim\\03_019.jpg,Tr19_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr19,19,1.0,'3',0.750045716763,0.7500457167625427,0.0,'1',0.62007600069,0.6200760006904602,0.0,19.0
0.25,Stim\\05_028.jpg,En28_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En28,28,1.0,'3',0.600761055946,0.6007610559463501,0.0,'1',0.647123992443,0.6471239924430847,0.0,20.0
0.25,Stim\\05_019.jpg,En19_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En19,19,1.0,'2',0.199974477291,0.19997447729110718,0.0,'1',0.749919474125,0.7499194741249084,0.0,21.0
0.25,Stim\\02_028.jpg,Al28_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al28,28,1.0,'3',0.400011867285,0.4000118672847748,0.0,'1',0.636891484261,0.6368914842605591,0.0,22.0
2.5,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,1.0,'2',0.133865058422,0.13386505842208862,0.0,'1',0.954377353191,0.9543773531913757,0.0,23.0
2.5,Stim\\05_075.jpg,En75_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En75,75,1.0,'2',0.650187492371,0.6501874923706055,0.0,'1',1.32003390789,1.3200339078903198,0.0,24.0
2.5,Stim\\03_075.jpg,Tr75_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr75,75,1.0,'3',0.18359002471,0.18359002470970154,0.0,'1',1.13431799412,1.1343179941177368,0.0,25.0
2.5,Stim\\03_028.jpg,Tr28_24,Tristeza,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Tr28,28,1.0,'3',0.183622166514,0.18362216651439667,0.0,'1',0.48969078064,0.48969078063964844,0.0,26.0
0.25,Stim\\05_028.jpg,En28_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En28,28,1.0,'2',0.700466215611,0.7004662156105042,0.0,'1',0.517502725124,0.5175027251243591,0.0,27.0
0.25,Stim\\03_028.jpg,Tr28_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr28,28,1.0,'4',0.233954921365,0.23395492136478424,0.0,'1',0.555266499519,0.5552664995193481,0.0,28.0
0.25,Stim\\02_028.jpg,Al28_28,Alegría,28,Antonio responde la pregunta.,Afirmación,Al28,28,1.0,'3',0.30047044158,0.3004704415798187,0.0,'1',0.700081586838,0.7000815868377686,0.0,29.0
2.5,Stim\\02_028.jpg,Al28_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al28,28,1.0,'3',0.083709448576,0.08370944857597351,0.0,'1',0.799490451813,0.7994904518127441,0.0,30.0
0.25,Stim\\02_078.jpg,Al78_29,Alegría,29,Miriam mira la película.,Afirmación,Al78,78,1.0,'3',0.700468480587,0.7004684805870056,0.0,'1',0.453014552593,0.4530145525932312,0.0,31.0
0.25,Stim\\05_078.jpg,En78_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En78,78,1.0,'2',0.28381690383,0.2838169038295746,0.0,'1',0.486650496721,0.4866504967212677,0.0,32.0
0.25,Stim\\03_019.jpg,Tr19_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr19,19,1.0,'3',0.183901950717,0.18390195071697235,0.0,'1',0.615863382816,0.6158633828163147,0.0,33.0
0.25,Stim\\02_028.jpg,Al28_25,Alegría,25,Luis decide la comida siguiente.,Afirmación,Al28,28,1.0,'3',0.184009060264,0.18400906026363373,0.0,'1',0.910242080688,0.9102420806884766,0.0,34.0
2.5,Stim\\03_078.jpg,Tr78_26,Tristeza,26,Víctor trae el café a Marco.,Afirmación,Tr78,78,1.0,'4',0.183957740664,0.18395774066448212,0.0,'1',1.99930787086,1.9993078708648682,0.0,35.0
2.5,Stim\\05_078.jpg,En78_20,Enojo,20,Karen analiza la idea.,Afirmación,En78,78,1.0,'2',0.1501044631,0.15010446310043335,0.0,'1',1.06850349903,1.068503499031067,0.0,36.0
2.5,Stim\\02_078.jpg,Al78_23,Alegría,23,Óscar consigue un nuevo departamento.,Afirmación,Al78,78,1.0,'4',0.233813911676,0.23381391167640686,0.0,'1',1.20538163185,1.2053816318511963,0.0,37.0
0.25,Stim\\03_078.jpg,Tr78_21,Tristeza,21,Mauro anuncia la actividad.,Afirmación,Tr78,78,1.0,'3',0.133741885424,0.13374188542366028,0.0,'1',0.807158350945,0.807158350944519,0.0,38.0
2.5,Stim\\03_075.jpg,Tr75_18,Tristeza,18,Sofía escucha la música.,Afirmación,Tr75,75,1.0,'2',0.184108123183,0.18410812318325043,0.0,'1',0.61965161562,0.6196516156196594,0.0,39.0
2.5,Stim\\03_019.jpg,Tr19_19,Tristeza,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Tr19,19,1.0,'3',0.300867587328,0.30086758732795715,0.0,'1',0.958311080933,0.9583110809326172,0.0,40.0
0.25,Stim\\03_019.jpg,Tr19_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr19,19,1.0,'3',0.133767768741,0.133767768740654,0.0,'1',1.00348162651,1.0034816265106201,0.0,41.0
2.5,Stim\\05_078.jpg,En78_18,Enojo,18,Sofía escucha la música.,Afirmación,En78,78,1.0,'3',0.134189918637,0.1341899186372757,0.0,'1',0.76909917593,0.7690991759300232,0.0,42.0
0.25,Stim\\05_019.jpg,En19_24,Enojo,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,En19,19,1.0,'2',0.183819845319,0.18381984531879425,0.0,'1',0.998925447464,0.9989254474639893,0.0,43.0
