Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque3.keys_raw,Resp_Bloque3.rt_mean,Resp_Bloque3.rt_raw,Resp_Bloque3.rt_std,Sig_B3.keys_raw,Sig_B3.rt_mean,Sig_B3.rt_raw,Sig_B3.rt_std,order
0.25,Stim\\02_075.jpg,Al75_11,Alegría,11,María asiste a la cena.,Afirmación,Al75,75,1.0,'3',1.20027065277,1.200270652770996,0.0,'1',3.52435302734,3.52435302734375,0.0,0.0
2.5,Stim\\03_019.jpg,Tr19_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr19,19,1.0,'2',2.3500187397,2.3500187397003174,0.0,'1',3.42730808258,3.4273080825805664,0.0,1.0
2.5,Stim\\02_075.jpg,Al75_8,Alegría,8,Estefanía despierta a las 7 a.m.,Afirmación,Al75,75,1.0,'3',1.81670415401,1.8167041540145874,0.0,'1',2.10003089905,2.1000308990478516,0.0,2.0
2.5,Stim\\03_075.jpg,Tr75_13,Tristeza,13,Rocío consume alimentos nutritivos.,Afirmación,Tr75,75,1.0,'2',1.26668119431,1.26668119430542,0.0,'1',1.74997723103,1.7499772310256958,0.0,3.0
0.25,Stim\\03_019.jpg,Tr19_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr19,19,1.0,'4',1.61658489704,1.6165848970413208,0.0,'1',2.54359388351,2.5435938835144043,0.0,4.0
2.5,Stim\\05_075.jpg,En75_11,Enojo,11,María asiste a la cena.,Afirmación,En75,75,1.0,'4',3.68233776093,3.682337760925293,0.0,'1',1.39136195183,1.391361951828003,0.0,5.0
0.25,Stim\\05_028.jpg,En28_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En28,28,1.0,'3',2.33305025101,2.33305025100708,0.0,'1',3.97987031937,3.979870319366455,0.0,6.0
2.5,Stim\\05_028.jpg,En28_9,Enojo,9,Marco colabora en la organización del evento.,Afirmación,En28,28,1.0,'2',1.5667194128,1.56671941280365,0.0,'1',3.79055309296,3.790553092956543,0.0,7.0
2.5,Stim\\03_075.jpg,Tr75_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr75,75,1.0,'4',0.966770172119,0.9667701721191406,0.0,'1',1.75014507771,1.7501450777053833,0.0,8.0
2.5,Stim\\05_028.jpg,En28_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En28,28,1.0,'2',2.29983067513,2.299830675125122,0.0,'1',1.21758639812,1.2175863981246948,0.0,9.0
0.25,Stim\\03_078.jpg,Tr78_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr78,78,1.0,'4',1.56647086143,1.5664708614349365,0.0,'1',2.35283827782,2.3528382778167725,0.0,10.0
0.25,Stim\\02_075.jpg,Al75_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al75,75,1.0,'3',1.11683428288,1.116834282875061,0.0,'1',2.40124583244,2.4012458324432373,0.0,11.0
0.25,Stim\\05_078.jpg,En78_11,Enojo,11,María asiste a la cena.,Afirmación,En78,78,1.0,'4',2.19982123375,2.1998212337493896,0.0,'1',1.57504856586,1.575048565864563,0.0,12.0
2.5,Stim\\03_028.jpg,Tr28_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr28,28,1.0,'4',0.966698765755,0.9666987657546997,0.0,'1',1.21804642677,1.2180464267730713,0.0,13.0
2.5,Stim\\02_019.jpg,Al19_3,Alegría,3,Andrea diseña la portada del libro.,Afirmación,Al19,19,1.0,'3',1.21665906906,1.2166590690612793,0.0,'1',2.4480483532,2.4480483531951904,0.0,14.0
2.5,Stim\\05_019.jpg,En19_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En19,19,1.0,'2',1.01671504974,1.0167150497436523,0.0,'1',1.93163394928,1.9316339492797852,0.0,15.0
0.25,Stim\\02_028.jpg,Al28_11,Alegría,11,María asiste a la cena.,Afirmación,Al28,28,1.0,'3',0.550160944462,0.5501609444618225,0.0,'1',1.74151015282,1.7415101528167725,0.0,16.0
0.25,Stim\\03_019.jpg,Tr19_11,Tristeza,11,María asiste a la cena.,Afirmación,Tr19,19,1.0,'2',1.21675944328,1.216759443283081,0.0,'1',1.13332223892,1.1333222389221191,0.0,17.0
2.5,Stim\\03_078.jpg,Tr78_14,Tristeza,14,Elizabeth elige la ropa un día antes.,Afirmación,Tr78,78,1.0,'4',0.700318813324,0.7003188133239746,0.0,'1',1.21713256836,1.217132568359375,0.0,18.0
0.25,Stim\\02_019.jpg,Al19_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al19,19,1.0,'3',0.550249278545,0.5502492785453796,0.0,'1',1.77752232552,1.777522325515747,0.0,19.0
2.5,Stim\\02_075.jpg,Al75_11,Alegría,11,María asiste a la cena.,Afirmación,Al75,75,1.0,'4',2.59971189499,2.5997118949890137,0.0,'1',0.975041389465,0.975041389465332,0.0,20.0
0.25,Stim\\02_028.jpg,Al28_4,Alegría,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Al28,28,1.0,'2',1.5829552412,1.582955241203308,0.0,'1',3.73116159439,3.731161594390869,0.0,21.0
2.5,Stim\\02_075.jpg,Al75_10,Alegría,10,Laura finaliza la obra.,Afirmación,Al75,75,1.0,'2',0.750144600868,0.7501446008682251,0.0,'1',2.50696468353,2.506964683532715,0.0,22.0
0.25,Stim\\05_075.jpg,En75_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En75,75,1.0,'4',0.817394554615,0.8173945546150208,0.0,'1',2.69867038727,2.6986703872680664,0.0,23.0
2.5,Stim\\02_028.jpg,Al28_11,Alegría,11,María asiste a la cena.,Afirmación,Al28,28,1.0,'3',1.16665971279,1.1666597127914429,0.0,'1',1.99134814739,1.991348147392273,0.0,24.0
0.25,Stim\\02_078.jpg,Al78_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al78,78,1.0,'3',0.500253915787,0.5002539157867432,0.0,'1',1.83644044399,1.8364404439926147,0.0,25.0
2.5,Stim\\02_019.jpg,Al19_7,Alegría,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Al19,19,1.0,'3',0.716704547405,0.7167045474052429,0.0,'1',1.82703661919,1.8270366191864014,0.0,26.0
0.25,Stim\\05_028.jpg,En28_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En28,28,1.0,'2',1.63319516182,1.633195161819458,0.0,'1',1.10175657272,1.1017565727233887,0.0,27.0
0.25,Stim\\03_075.jpg,Tr75_2,Tristeza,2,Jonathan pasea al perro.,Afirmación,Tr75,75,1.0,'4',0.900245785713,0.9002457857131958,0.0,'1',1.69088685513,1.6908868551254272,0.0,28.0
0.25,Stim\\05_075.jpg,En75_3,Enojo,3,Andrea diseña la portada del libro.,Afirmación,En75,75,1.0,'2',0.500466346741,0.5004663467407227,0.0,'1',1.31491160393,1.3149116039276123,0.0,29.0
2.5,Stim\\05_028.jpg,En28_10,Enojo,10,Laura finaliza la obra.,Afirmación,En28,28,1.0,'2',1.26676011086,1.2667601108551025,0.0,'1',0.925915718079,0.9259157180786133,0.0,30.0
0.25,Stim\\05_019.jpg,En19_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En19,19,1.0,'4',0.700250089169,0.7002500891685486,0.0,'1',1.33212161064,1.3321216106414795,0.0,31.0
2.5,Stim\\02_078.jpg,Al78_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al78,78,1.0,'3',0.600378036499,0.6003780364990234,0.0,'1',1.36483252048,1.3648325204849243,0.0,32.0
0.25,Stim\\05_075.jpg,En75_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En75,75,1.0,'3',1.68326365948,1.6832636594772339,0.0,'1',3.68372511864,3.683725118637085,0.0,33.0
2.5,Stim\\02_019.jpg,Al19_12,Alegría,12,Ana compra el libro.,Afirmación,Al19,19,1.0,'3',0.350089788437,0.35008978843688965,0.0,'1',1.07604861259,1.0760486125946045,0.0,34.0
0.25,Stim\\05_075.jpg,En75_8,Enojo,8,Estefanía despierta a las 7 a.m.,Afirmación,En75,75,1.0,'4',0.850320935249,0.8503209352493286,0.0,'1',1.31937992573,1.3193799257278442,0.0,35.0
2.5,Stim\\03_028.jpg,Tr28_4,Tristeza,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Tr28,28,1.0,'4',0.750117838383,0.750117838382721,0.0,'1',1.27743661404,1.27743661403656,0.0,36.0
0.25,Stim\\03_078.jpg,Tr78_12,Tristeza,12,Ana compra el libro.,Afirmación,Tr78,78,1.0,'4',1.11679244041,1.1167924404144287,0.0,'1',1.12686157227,1.126861572265625,0.0,37.0
2.5,Stim\\03_019.jpg,Tr19_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr19,19,1.0,'2',1.46658718586,1.4665871858596802,0.0,'1',1.26853573322,1.2685357332229614,0.0,38.0
2.5,Stim\\05_075.jpg,En75_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En75,75,1.0,'4',0.919095754623,0.9190957546234131,0.0,'1',2.71511268616,2.7151126861572266,0.0,39.0
0.25,Stim\\05_078.jpg,En78_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En78,78,1.0,'2',1.66670918465,1.6667091846466064,0.0,'1',1.26705873013,1.2670587301254272,0.0,40.0
0.25,Stim\\03_078.jpg,Tr78_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr78,78,1.0,'4',0.600389242172,0.6003892421722412,0.0,'1',1.16847407818,1.1684740781784058,0.0,41.0
0.25,Stim\\05_078.jpg,En78_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En78,78,1.0,'2',1.31665551662,1.3166555166244507,0.0,'1',1.63379848003,1.6337984800338745,0.0,42.0
2.5,Stim\\05_078.jpg,En78_2,Enojo,2,Jonathan pasea al perro.,Afirmación,En78,78,1.0,'2',1.0167927742,1.0167927742004395,0.0,'1',1.54099047184,1.5409904718399048,0.0,43.0
2.5,Stim\\02_078.jpg,Al78_4,Alegría,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Al78,78,1.0,'3',0.700235784054,0.7002357840538025,0.0,'1',1.01562809944,1.0156280994415283,0.0,44.0
2.5,Stim\\05_078.jpg,En78_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En78,78,1.0,'4',0.43415927887,0.4341592788696289,0.0,'1',1.30017614365,1.3001761436462402,0.0,45.0
0.25,Stim\\05_019.jpg,En19_9,Enojo,9,Marco colabora en la organización del evento.,Afirmación,En19,19,1.0,'4',0.533711314201,0.533711314201355,0.0,'1',1.99301886559,1.9930188655853271,0.0,46.0
0.25,Stim\\05_019.jpg,En19_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En19,19,1.0,'2',0.483664214611,0.48366421461105347,0.0,'1',1.23366820812,1.2336682081222534,0.0,47.0
2.5,Stim\\02_028.jpg,Al28_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al28,28,1.0,'3',0.400353342295,0.400353342294693,0.0,'1',0.775059938431,0.7750599384307861,0.0,48.0
0.25,Stim\\03_075.jpg,Tr75_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr75,75,1.0,'4',0.700226843357,0.7002268433570862,0.0,'1',1.31956779957,1.3195677995681763,0.0,49.0
2.5,Stim\\02_028.jpg,Al28_12,Alegría,12,Ana compra el libro.,Afirmación,Al28,28,1.0,'3',0.500016093254,0.5000160932540894,0.0,'1',0.727764844894,0.7277648448944092,0.0,50.0
0.25,Stim\\05_019.jpg,En19_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En19,19,1.0,'2',0.816958129406,0.8169581294059753,0.0,'1',1.61481010914,1.6148101091384888,0.0,51.0
0.25,Stim\\02_075.jpg,Al75_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al75,75,1.0,'2',0.483657062054,0.4836570620536804,0.0,'1',1.11253118515,1.1125311851501465,0.0,52.0
2.5,Stim\\03_019.jpg,Tr19_12,Tristeza,12,Ana compra el libro.,Afirmación,Tr19,19,1.0,'2',1.00007367134,1.0000736713409424,0.0,'1',0.525354444981,0.5253544449806213,0.0,53.0
2.5,Stim\\02_019.jpg,Al19_4,Alegría,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Al19,19,1.0,'3',0.550321578979,0.5503215789794922,0.0,'1',0.997597873211,0.997597873210907,0.0,54.0
0.25,Stim\\02_019.jpg,Al19_12,Alegría,12,Ana compra el libro.,Afirmación,Al19,19,1.0,'3',0.483860105276,0.4838601052761078,0.0,'1',1.17744100094,1.1774410009384155,0.0,55.0
2.5,Stim\\02_078.jpg,Al78_7,Alegría,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Al78,78,1.0,'3',0.333654493093,0.3336544930934906,0.0,'1',1.12729752064,1.1272975206375122,0.0,56.0
2.5,Stim\\03_078.jpg,Tr78_13,Tristeza,13,Rocío consume alimentos nutritivos.,Afirmación,Tr78,78,1.0,'4',0.950142979622,0.9501429796218872,0.0,'1',1.23321533203,1.23321533203125,0.0,57.0
2.5,Stim\\02_075.jpg,Al75_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al75,75,1.0,'2',0.400391727686,0.40039172768592834,0.0,'1',1.32611691952,1.326116919517517,0.0,58.0
0.25,Stim\\02_028.jpg,Al28_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al28,28,1.0,'3',0.500323057175,0.5003230571746826,0.0,'1',2.59979224205,2.599792242050171,0.0,59.0
2.5,Stim\\03_028.jpg,Tr28_7,Tristeza,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Tr28,28,1.0,'4',1.10007596016,1.1000759601593018,0.0,'1',2.80958557129,2.8095855712890625,0.0,60.0
0.25,Stim\\05_078.jpg,En78_7,Enojo,7,Roberto contesta los cuestionarios solicitados.,Afirmación,En78,78,1.0,'4',0.800233185291,0.8002331852912903,0.0,'1',0.933432340622,0.9334323406219482,0.0,61.0
2.5,Stim\\03_028.jpg,Tr28_5,Tristeza,5,Emilio revisa el formato del archivo.,Afirmación,Tr28,28,1.0,'4',1.36667060852,1.3666706085205078,0.0,'1',1.84922003746,1.8492200374603271,0.0,62.0
