Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
2.5,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,,,,,0,0,0,0,,,,,,,,,1,6.52618092861,3,1.36669766603,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
2.5,Stim\\05_019.jpg,En19_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En19,19,,,,,0,1,1,1,,,,,,,,,1,4.04080670943,4,2.19978035669,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
0.25,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,,,,,0,2,2,2,,,,,,,,,1,6.16916372217,3,0.450636037389,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
2.5,Stim\\02_075.jpg,Al75_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,1,4.08435427457,3,1.0502140652,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
0.25,Stim\\05_075.jpg,En75_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En75,75,,,,,0,4,4,4,,,,,,,,,1,4.19640315123,2,1.98330630558,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
2.5,Stim\\02_019.jpg,Al19_29,Alegría,29,Miriam mira la película.,Afirmación,Al19,19,,,,,0,5,5,5,,,,,,,,,1,3.02346774028,3,0.600396000546,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
2.5,Stim\\02_078.jpg,Al78_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al78,78,,,,,0,6,6,6,,,,,,,,,1,4.08366705252,3,1.31662550772,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
0.25,Stim\\05_028.jpg,En28_20,Enojo,20,Karen analiza la idea.,Afirmación,En28,28,,,,,0,7,7,7,,,,,,,,,1,3.1687277378,4,1.41717814134,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
0.25,Stim\\03_078.jpg,Tr78_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr78,78,,,,,0,8,8,8,,,,,,,,,1,3.5652062157,2,2.59961238892,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
0.25,Stim\\02_019.jpg,Al19_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al19,19,,,,,0,9,9,9,,,,,,,,,1,3.21433339908,3,0.550260475004,,,,,,,,,2018_jun._15_1500,60.0777477804,Experimento Piloto1,001,137,
