Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Resp_Bloque2.keys,Resp_Bloque2.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,date,frameRate,expName,session,participant,
2.5,Stim\\03_028.jpg,Tr28_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr28,28,,,,,0,0,0,0,,,,,,,,,4,2.79963746838,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
0.25,Stim\\03_019.jpg,Tr19_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr19,19,,,,,0,1,1,1,,,,,,,,,3,1.16664851926,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
2.5,Stim\\03_078.jpg,Tr78_10,Tristeza,10,Laura finaliza la obra.,Afirmación,Tr78,78,,,,,0,2,2,2,,,,,,,,,4,6.86500070507,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
0.25,Stim\\02_075.jpg,Al75_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al75,75,,,,,0,3,3,3,,,,,,,,,3,0.550230085305,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
0.25,Stim\\02_019.jpg,Al19_15,Alegría,15,Ángel envía una carta a la abuela.,Afirmación,Al19,19,,,,,0,4,4,4,,,,,,,,,3,1.16688369179,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
2.5,Stim\\02_075.jpg,Al75_7,Alegría,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Al75,75,,,,,0,5,5,5,,,,,,,,,2,2.48309569157,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
0.25,Stim\\03_075.jpg,Tr75_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr75,75,,,,,0,6,6,6,,,,,,,,,3,1.51679230026,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
0.25,Stim\\02_019.jpg,Al19_11,Alegría,11,María asiste a la cena.,Afirmación,Al19,19,,,,,0,7,7,7,,,,,,,,,2,2.14939346015,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
2.5,Stim\\02_019.jpg,Al19_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al19,19,,,,,0,8,8,8,,,,,,,,,3,3.86604180091,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
2.5,Stim\\05_075.jpg,En75_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En75,75,,,,,0,9,9,9,,,,,,,,,2,1.21648546036,,,,,2018_may._09_0027,60.0057303674,Experimento Piloto1,001,114,
