Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque2.keys_raw,Resp_Bloque2.rt_mean,Resp_Bloque2.rt_raw,Resp_Bloque2.rt_std,Sig_B2.keys_raw,Sig_B2.rt_mean,Sig_B2.rt_raw,Sig_B2.rt_std,order
2.5,Stim\\03_028.jpg,Tr28_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr28,28,1.0,'2',12.6465435028,12.646543502807617,0.0,'1',3.15148019791,3.151480197906494,0.0,0.0
0.25,Stim\\03_019.jpg,Tr19_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr19,19,1.0,'3',0.400210529566,0.40021052956581116,0.0,'1',1.94996130466,1.9499613046646118,0.0,1.0
2.5,Stim\\03_078.jpg,Tr78_10,Tristeza,10,Laura finaliza la obra.,Afirmación,Tr78,78,1.0,'3',1.11675226688,1.11675226688385,0.0,'1',3.22425866127,3.2242586612701416,0.0,2.0
0.25,Stim\\02_075.jpg,Al75_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al75,75,1.0,'4',0.699864089489,0.6998640894889832,0.0,'1',1.31587195396,1.3158719539642334,0.0,3.0
0.25,Stim\\02_019.jpg,Al19_15,Alegría,15,Ángel envía una carta a la abuela.,Afirmación,Al19,19,1.0,'3',0.533596217632,0.5335962176322937,0.0,'1',1.90087282658,1.900872826576233,0.0,4.0
2.5,Stim\\02_075.jpg,Al75_7,Alegría,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Al75,75,1.0,'4',0.550317108631,0.550317108631134,0.0,'1',3.12571954727,3.1257195472717285,0.0,5.0
0.25,Stim\\03_075.jpg,Tr75_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr75,75,1.0,'3',0.450213938951,0.4502139389514923,0.0,'1',2.28555440903,2.2855544090270996,0.0,6.0
0.25,Stim\\02_019.jpg,Al19_11,Alegría,11,María asiste a la cena.,Afirmación,Al19,19,1.0,'3',1.21675407887,1.2167540788650513,0.0,'1',1.89061939716,1.8906193971633911,0.0,7.0
2.5,Stim\\02_019.jpg,Al19_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al19,19,1.0,'4',1.11685347557,1.1168534755706787,0.0,'1',1.38979065418,1.389790654182434,0.0,8.0
2.5,Stim\\05_075.jpg,En75_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En75,75,1.0,'2',0.900059700012,0.900059700012207,0.0,'1',1.73151814938,1.7315181493759155,0.0,9.0
0.25,Stim\\03_078.jpg,Tr78_10,Tristeza,10,Laura finaliza la obra.,Afirmación,Tr78,78,1.0,'3',7.78155469894,7.781554698944092,0.0,'1',2.60735964775,2.6073596477508545,0.0,10.0
0.25,Stim\\02_019.jpg,Al19_6,Alegría,6,Eduardo camina hacia la biblioteca.,Afirmación,Al19,19,1.0,'4',5.26551437378,5.265514373779297,0.0,'1',1.93378973007,1.9337897300720215,0.0,11.0
2.5,Stim\\05_019.jpg,En19_3,Enojo,3,Andrea diseña la portada del libro.,Afirmación,En19,19,1.0,'2',0.84999114275,0.8499911427497864,0.0,'1',1.33374547958,1.3337454795837402,0.0,12.0
0.25,Stim\\05_019.jpg,En19_3,Enojo,3,Andrea diseña la portada del libro.,Afirmación,En19,19,1.0,'2',0.650274813175,0.6502748131752014,0.0,'1',2.1665058136,2.166505813598633,0.0,13.0
2.5,Stim\\02_028.jpg,Al28_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al28,28,1.0,'4',3.68254065514,3.6825406551361084,0.0,'1',1.26782000065,1.2678200006484985,0.0,14.0
0.25,Stim\\02_019.jpg,Al19_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al19,19,1.0,'4',0.483744978905,0.4837449789047241,0.0,'1',1.54087007046,1.5408700704574585,0.0,15.0
0.25,Stim\\05_028.jpg,En28_11,Enojo,11,María asiste a la cena.,Afirmación,En28,28,1.0,'2',16.0294494629,16.029449462890625,0.0,'1',1.02482426167,1.0248242616653442,0.0,16.0
0.25,Stim\\03_028.jpg,Tr28_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr28,28,1.0,'3',7.36484766006,7.364847660064697,0.0,'1',1.48506271839,1.4850627183914185,0.0,17.0
0.25,Stim\\03_078.jpg,Tr78_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr78,78,1.0,'3',1.93306457996,1.933064579963684,0.0,'1',1.33329081535,1.3332908153533936,0.0,18.0
0.25,Stim\\02_019.jpg,Al19_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al19,19,1.0,'3',1.78320038319,1.7832003831863403,0.0,'1',1.33353447914,1.3335344791412354,0.0,19.0
0.25,Stim\\02_019.jpg,Al19_10,Alegría,10,Laura finaliza la obra.,Afirmación,Al19,19,1.0,'4',4.49902057648,4.499020576477051,0.0,'1',1.22464597225,1.224645972251892,0.0,20.0
2.5,Stim\\03_019.jpg,Tr19_13,Tristeza,13,Rocío consume alimentos nutritivos.,Afirmación,Tr19,19,1.0,'3',0.333612978458,0.33361297845840454,0.0,'1',1.95064496994,1.9506449699401855,0.0,21.0
2.5,Stim\\05_075.jpg,En75_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En75,75,1.0,'2',0.650182843208,0.650182843208313,0.0,'1',2.7666888237,2.766688823699951,0.0,22.0
0.25,Stim\\05_078.jpg,En78_10,Enojo,10,Laura finaliza la obra.,Afirmación,En78,78,1.0,'2',2.49973130226,2.4997313022613525,0.0,'1',1.74113619328,1.7411361932754517,0.0,23.0
2.5,Stim\\05_075.jpg,En75_14,Enojo,14,Elizabeth elige la ropa un día antes.,Afirmación,En75,75,1.0,'2',2.84946727753,2.8494672775268555,0.0,'1',2.86459994316,2.8645999431610107,0.0,24.0
0.25,Stim\\05_019.jpg,En19_7,Enojo,7,Roberto contesta los cuestionarios solicitados.,Afirmación,En19,19,1.0,'2',1.76658976078,1.7665897607803345,0.0,'1',2.95998239517,2.959982395172119,0.0,25.0
0.25,Stim\\02_078.jpg,Al78_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al78,78,1.0,'4',0.966471612453,0.9664716124534607,0.0,'1',2.34786748886,2.347867488861084,0.0,26.0
0.25,Stim\\03_028.jpg,Tr28_13,Tristeza,13,Rocío consume alimentos nutritivos.,Afirmación,Tr28,28,1.0,'4',1.83319079876,1.8331907987594604,0.0,'1',1.41578102112,1.415781021118164,0.0,27.0
2.5,Stim\\03_019.jpg,Tr19_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr19,19,1.0,'3',0.450325936079,0.45032593607902527,0.0,'1',1.11822211742,1.1182221174240112,0.0,28.0
2.5,Stim\\02_019.jpg,Al19_8,Alegría,8,Estefanía despierta a las 7 a.m.,Afirmación,Al19,19,1.0,'3',1.21684241295,1.2168424129486084,0.0,'1',1.59993004799,1.5999300479888916,0.0,29.0
2.5,Stim\\02_028.jpg,Al28_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al28,28,1.0,'3',8.13142967224,8.131429672241211,0.0,'1',1.67687964439,1.676879644393921,0.0,30.0
2.5,Stim\\03_075.jpg,Tr75_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr75,75,1.0,'3',0.900234639645,0.9002346396446228,0.0,'1',1.84584510326,1.845845103263855,0.0,31.0
2.5,Stim\\05_078.jpg,En78_8,Enojo,8,Estefanía despierta a las 7 a.m.,Afirmación,En78,78,1.0,'2',4.86544656754,4.8654465675354,0.0,'1',4.35102939606,4.351029396057129,0.0,32.0
0.25,Stim\\02_028.jpg,Al28_12,Alegría,12,Ana compra el libro.,Afirmación,Al28,28,1.0,'4',0.550429999828,0.5504299998283386,0.0,'1',1.52642011642,1.5264201164245605,0.0,33.0
0.25,Stim\\05_075.jpg,En75_1,Enojo,1,Juan colecciona monedas antiguas.,Afirmación,En75,75,1.0,'2',0.600120127201,0.6001201272010803,0.0,'1',2.35101532936,2.351015329360962,0.0,34.0
0.25,Stim\\03_028.jpg,Tr28_4,Tristeza,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Tr28,28,1.0,'3',0.700455367565,0.700455367565155,0.0,'1',1.36399042606,1.3639904260635376,0.0,35.0
2.5,Stim\\03_078.jpg,Tr78_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr78,78,1.0,'4',4.4990439415,4.499043941497803,0.0,'1',2.14944601059,2.1494460105895996,0.0,36.0
0.25,Stim\\05_078.jpg,En78_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En78,78,1.0,'2',1.88314020634,1.883140206336975,0.0,'1',0.964825868607,0.9648258686065674,0.0,37.0
2.5,Stim\\03_019.jpg,Tr19_7,Tristeza,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Tr19,19,1.0,'3',0.500358760357,0.5003587603569031,0.0,'1',2.49261498451,2.492614984512329,0.0,38.0
0.25,Stim\\02_078.jpg,Al78_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al78,78,1.0,'4',0.450334876776,0.4503348767757416,0.0,'1',1.2232350111,1.223235011100769,0.0,39.0
0.25,Stim\\02_078.jpg,Al78_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al78,78,1.0,'4',0.4503942132,0.4503942131996155,0.0,'1',2.7484087944,2.748408794403076,0.0,40.0
2.5,Stim\\05_019.jpg,En19_11,Enojo,11,María asiste a la cena.,Afirmación,En19,19,1.0,'2',9.63070869446,9.630708694458008,0.0,'1',1.02505552769,1.0250555276870728,0.0,41.0
