Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Resp_Bloque2.keys,Resp_Bloque2.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
0.25,Stim\\05_078.jpg,En78_10,Enojo,10,Laura finaliza la obra.,Afirmación,En78,78,,,,,0,23,23,23,,,,,,,,,2,2.28321867743,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_075.jpg,En75_14,Enojo,14,Elizabeth elige la ropa un día antes.,Afirmación,En75,75,,,,,0,24,24,24,,,,,,,,,3,0.600245525475,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_019.jpg,En19_7,Enojo,7,Roberto contesta los cuestionarios solicitados.,Afirmación,En19,19,,,,,0,25,25,25,,,,,,,,,2,0.95015011772,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\02_078.jpg,Al78_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al78,78,,,,,0,26,26,26,,,,,,,,,3,0.583633509274,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_028.jpg,Tr28_13,Tristeza,13,Rocío consume alimentos nutritivos.,Afirmación,Tr28,28,,,,,0,27,27,27,,,,,,,,,4,1.01679096152,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_019.jpg,Tr19_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr19,19,,,,,0,28,28,28,,,,,,,,,3,0.650101208974,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_019.jpg,Al19_8,Alegría,8,Estefanía despierta a las 7 a.m.,Afirmación,Al19,19,,,,,0,29,29,29,,,,,,,,,3,0.483455367199,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_028.jpg,Al28_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al28,28,,,,,0,30,30,30,,,,,,,,,3,0.650493906934,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_075.jpg,Tr75_1,Tristeza,1,Juan colecciona monedas antiguas.,Afirmación,Tr75,75,,,,,0,31,31,31,,,,,,,,,3,0.650372081317,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_078.jpg,En78_8,Enojo,8,Estefanía despierta a las 7 a.m.,Afirmación,En78,78,,,,,0,32,32,32,,,,,,,,,4,0.700232673541,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
