Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Resp_Bloque3.keys,Resp_Bloque3.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,date,frameRate,expName,session,participant,
0.25,Stim\\02_075.jpg,Al75_11,Alegría,11,María asiste a la cena.,Afirmación,Al75,75,,,,,0,0,0,0,,,,,,,,,4,4.59889883824,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\03_019.jpg,Tr19_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr19,19,,,,,0,1,1,1,,,,,,,,,2,1.66671203522,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_075.jpg,Al75_8,Alegría,8,Estefanía despierta a las 7 a.m.,Afirmación,Al75,75,,,,,0,2,2,2,,,,,,,,,3,0.700446605078,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\03_075.jpg,Tr75_13,Tristeza,13,Rocío consume alimentos nutritivos.,Afirmación,Tr75,75,,,,,0,3,3,3,,,,,,,,,4,1.00022223154,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\03_019.jpg,Tr19_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr19,19,,,,,0,4,4,4,,,,,,,,,3,1.83324780245,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\05_075.jpg,En75_11,Enojo,11,María asiste a la cena.,Afirmación,En75,75,,,,,0,5,5,5,,,,,,,,,2,0.750290730624,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_028.jpg,En28_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En28,28,,,,,0,6,6,6,,,,,,,,,3,2.94954853082,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\05_028.jpg,En28_9,Enojo,9,Marco colabora en la organización del evento.,Afirmación,En28,28,,,,,0,7,7,7,,,,,,,,,2,1.78332915348,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\03_075.jpg,Tr75_9,Tristeza,9,Marco colabora en la organización del evento.,Afirmación,Tr75,75,,,,,0,8,8,8,,,,,,,,,4,1.38308523428,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\05_028.jpg,En28_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En28,28,,,,,0,9,9,9,,,,,,,,,2,3.68269664145,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\03_078.jpg,Tr78_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr78,78,,,,,0,10,10,10,,,,,,,,,3,1.98341519011,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\02_075.jpg,Al75_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al75,75,,,,,0,11,11,11,,,,,,,,,3,0.533578829277,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_078.jpg,En78_11,Enojo,11,María asiste a la cena.,Afirmación,En78,78,,,,,0,12,12,12,,,,,,,,,2,0.550447899198,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\03_028.jpg,Tr28_15,Tristeza,15,Ángel envía una carta a la abuela.,Afirmación,Tr28,28,,,,,0,13,13,13,,,,,,,,,2,0.700189566184,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_019.jpg,Al19_3,Alegría,3,Andrea diseña la portada del libro.,Afirmación,Al19,19,,,,,0,14,14,14,,,,,,,,,4,1.68321473547,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\05_019.jpg,En19_5,Enojo,5,Emilio revisa el formato del archivo.,Afirmación,En19,19,,,,,0,15,15,15,,,,,,,,,2,0.500212860334,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\02_028.jpg,Al28_11,Alegría,11,María asiste a la cena.,Afirmación,Al28,28,,,,,0,16,16,16,,,,,,,,,3,1.93324887345,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\03_019.jpg,Tr19_11,Tristeza,11,María asiste a la cena.,Afirmación,Tr19,19,,,,,0,17,17,17,,,,,,,,,2,0.533528849492,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\03_078.jpg,Tr78_14,Tristeza,14,Elizabeth elige la ropa un día antes.,Afirmación,Tr78,78,,,,,0,18,18,18,,,,,,,,,4,2.2998492574,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\02_019.jpg,Al19_9,Alegría,9,Marco colabora en la organización del evento.,Afirmación,Al19,19,,,,,0,19,19,19,,,,,,,,,3,1.31676518337,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_075.jpg,Al75_11,Alegría,11,María asiste a la cena.,Afirmación,Al75,75,,,,,0,20,20,20,,,,,,,,,3,0.866847605388,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\02_028.jpg,Al28_4,Alegría,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Al28,28,,,,,0,21,21,21,,,,,,,,,3,0.750157748696,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_075.jpg,Al75_10,Alegría,10,Laura finaliza la obra.,Afirmación,Al75,75,,,,,0,22,22,22,,,,,,,,,3,0.600640098246,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_075.jpg,En75_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En75,75,,,,,0,23,23,23,,,,,,,,,2,1.66670311026,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_028.jpg,Al28_11,Alegría,11,María asiste a la cena.,Afirmación,Al28,28,,,,,0,24,24,24,,,,,,,,,3,8.69992003234,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\02_078.jpg,Al78_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al78,78,,,,,0,25,25,25,,,,,,,,,3,1.41676134563,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_019.jpg,Al19_7,Alegría,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Al19,19,,,,,0,26,26,26,,,,,,,,,3,1.7829971449,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_028.jpg,En28_15,Enojo,15,Ángel envía una carta a la abuela.,Afirmación,En28,28,,,,,0,27,27,27,,,,,,,,,2,1.31682899684,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\03_075.jpg,Tr75_2,Tristeza,2,Jonathan pasea al perro.,Afirmación,Tr75,75,,,,,0,28,28,28,,,,,,,,,3,1.98312468261,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_075.jpg,En75_3,Enojo,3,Andrea diseña la portada del libro.,Afirmación,En75,75,,,,,0,29,29,29,,,,,,,,,2,0.650342316902,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\05_028.jpg,En28_10,Enojo,10,Laura finaliza la obra.,Afirmación,En28,28,,,,,0,30,30,30,,,,,,,,,2,1.0667868264,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_019.jpg,En19_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En19,19,,,,,0,31,31,31,,,,,,,,,2,1.16680351608,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_078.jpg,Al78_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al78,78,,,,,0,32,32,32,,,,,,,,,3,1.31663354018,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_075.jpg,En75_6,Enojo,6,Eduardo camina hacia la biblioteca.,Afirmación,En75,75,,,,,0,33,33,33,,,,,,,,,2,1.21686674943,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\02_019.jpg,Al19_12,Alegría,12,Ana compra el libro.,Afirmación,Al19,19,,,,,0,34,34,34,,,,,,,,,4,2.54956120426,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\05_075.jpg,En75_8,Enojo,8,Estefanía despierta a las 7 a.m.,Afirmación,En75,75,,,,,0,35,35,35,,,,,,,,,3,3.56604025336,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\03_028.jpg,Tr28_4,Tristeza,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Tr28,28,,,,,0,36,36,36,,,,,,,,,4,1.05018505908,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
0.25,Stim\\03_078.jpg,Tr78_12,Tristeza,12,Ana compra el libro.,Afirmación,Tr78,78,,,,,0,37,37,37,,,,,,,,,4,0.750225132156,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\03_019.jpg,Tr19_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr19,19,,,,,0,38,38,38,,,,,,,,,2,1.11671752407,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
2.5,Stim\\05_075.jpg,En75_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En75,75,,,,,0,39,39,39,,,,,,,,,2,1.41676982435,,,,,2018_may._05_1417,60.0268940337,Experimento Piloto1,001,109,
