Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,n,Resp_Bloque2.keys_raw,Resp_Bloque2.rt_mean,Resp_Bloque2.rt_raw,Resp_Bloque2.rt_std,Sig_B2.keys_raw,Sig_B2.rt_mean,Sig_B2.rt_raw,Sig_B2.rt_std,order
2.5,Stim\\02_078.jpg,Al78_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al78,78,1.0,'3',0.700211405754,0.7002114057540894,0.0,'1',1.61472642422,1.6147264242172241,0.0,0.0
2.5,Stim\\05_019.jpg,En19_23,Enojo,23,Óscar consigue un nuevo departamento.,Afirmación,En19,19,1.0,'2',0.283703565598,0.2837035655975342,0.0,'1',0.912472426891,0.9124724268913269,0.0,1.0
0.25,Stim\\02_075.jpg,Al75_17,Alegría,17,Brenda sube el autobús en las mañanas.,Afirmación,Al75,75,1.0,'3',0.600257635117,0.6002576351165771,0.0,'1',1.43164277077,1.431642770767212,0.0,2.0
2.5,Stim\\02_075.jpg,Al75_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al75,75,1.0,'2',0.450196027756,0.4501960277557373,0.0,'1',1.20645403862,1.2064540386199951,0.0,3.0
0.25,Stim\\05_075.jpg,En75_19,Enojo,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,En75,75,1.0,'2',0.383755505085,0.38375550508499146,0.0,'1',1.73027205467,1.7302720546722412,0.0,4.0
2.5,Stim\\02_019.jpg,Al19_29,Alegría,29,Miriam mira la película.,Afirmación,Al19,19,1.0,'3',0.700197160244,0.700197160243988,0.0,'1',2.52349233627,2.5234923362731934,0.0,5.0
2.5,Stim\\02_078.jpg,Al78_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al78,78,1.0,'2',1.46680176258,1.4668017625808716,0.0,'1',3.5229818821,3.522981882095337,0.0,6.0
0.25,Stim\\05_028.jpg,En28_20,Enojo,20,Karen analiza la idea.,Afirmación,En28,28,1.0,'2',0.450027793646,0.45002779364585876,0.0,'1',1.54191875458,1.5419187545776367,0.0,7.0
0.25,Stim\\03_078.jpg,Tr78_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr78,78,1.0,'2',1.05025732517,1.0502573251724243,0.0,'1',1.92916882038,1.9291688203811646,0.0,8.0
0.25,Stim\\02_019.jpg,Al19_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al19,19,1.0,'3',0.750401377678,0.7504013776779175,0.0,'1',1.01496040821,1.0149604082107544,0.0,9.0
2.5,Stim\\02_019.jpg,Al19_19,Alegría,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Al19,19,1.0,'2',1.21680021286,1.2168002128601074,0.0,'1',3.43101406097,3.431014060974121,0.0,10.0
0.25,Stim\\02_028.jpg,Al28_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al28,28,1.0,'2',4.4986000061,4.498600006103516,0.0,'1',0.915021896362,0.9150218963623047,0.0,11.0
2.5,Stim\\02_019.jpg,Al19_16,Alegría,16,Valeria modifica algunas imágenes.,Afirmación,Al19,19,1.0,'2',1.51680386066,1.5168038606643677,0.0,'1',1.88445341587,1.8844534158706665,0.0,12.0
2.5,Stim\\03_075.jpg,Tr75_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr75,75,1.0,'4',2.08317160606,2.0831716060638428,0.0,'1',1.13145661354,1.1314566135406494,0.0,13.0
2.5,Stim\\02_078.jpg,Al78_19,Alegría,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Al78,78,1.0,'3',1.21711885929,1.2171188592910767,0.0,'1',1.78119921684,1.7811992168426514,0.0,14.0
2.5,Stim\\05_075.jpg,En75_25,Enojo,25,Luis decide la comida siguiente.,Afirmación,En75,75,1.0,'2',3.68266272545,3.6826627254486084,0.0,'1',2.19803595543,2.198035955429077,0.0,15.0
0.25,Stim\\03_075.jpg,Tr75_24,Tristeza,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Tr75,75,1.0,'2',1.41671001911,1.4167100191116333,0.0,'1',2.58947134018,2.5894713401794434,0.0,16.0
2.5,Stim\\05_078.jpg,En78_25,Enojo,25,Luis decide la comida siguiente.,Afirmación,En78,78,1.0,'2',0.85046184063,0.8504618406295776,0.0,'1',1.6354367733,1.635436773300171,0.0,17.0
2.5,Stim\\05_028.jpg,En28_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En28,28,1.0,'4',5.43215465546,5.432154655456543,0.0,'1',3.57810378075,3.57810378074646,0.0,18.0
0.25,Stim\\02_078.jpg,Al78_26,Alegría,26,Víctor trae el café a Marco.,Afirmación,Al78,78,1.0,'2',0.650241494179,0.650241494178772,0.0,'1',2.13821053505,2.1382105350494385,0.0,19.0
2.5,Stim\\03_075.jpg,Tr75_20,Tristeza,20,Karen analiza la idea.,Afirmación,Tr75,75,1.0,'4',0.750199258327,0.7501992583274841,0.0,'1',1.1417337656,1.1417337656021118,0.0,20.0
2.5,Stim\\05_028.jpg,En28_21,Enojo,21,Mauro anuncia la actividad.,Afirmación,En28,28,1.0,'3',0.500317752361,0.5003177523612976,0.0,'1',4.45531129837,4.455311298370361,0.0,21.0
0.25,Stim\\05_019.jpg,En19_21,Enojo,21,Mauro anuncia la actividad.,Afirmación,En19,19,1.0,'2',1.56669986248,1.5666998624801636,0.0,'1',1.79986214638,1.7998621463775635,0.0,22.0
0.25,Stim\\03_028.jpg,Tr28_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr28,28,1.0,'4',0.250400066376,0.2504000663757324,0.0,'1',1.11807322502,1.1180732250213623,0.0,23.0
0.25,Stim\\05_075.jpg,En75_27,Enojo,27,Claudia informa los avances en el reporte.,Afirmación,En75,75,1.0,'2',0.350077599287,0.3500775992870331,0.0,'1',1.36311471462,1.3631147146224976,0.0,24.0
2.5,Stim\\02_078.jpg,Al78_18,Alegría,18,Sofía escucha la música.,Afirmación,Al78,78,1.0,'3',3.21615099907,3.216150999069214,0.0,'1',1.27457511425,1.274575114250183,0.0,25.0
2.5,Stim\\03_028.jpg,Tr28_25,Tristeza,25,Luis decide la comida siguiente.,Afirmación,Tr28,28,1.0,'4',0.283593326807,0.2835933268070221,0.0,'1',1.33467888832,1.3346788883209229,0.0,26.0
0.25,Stim\\03_075.jpg,Tr75_18,Tristeza,18,Sofía escucha la música.,Afirmación,Tr75,75,1.0,'4',1.68327271938,1.6832727193832397,0.0,'1',1.84012448788,1.840124487876892,0.0,27.0
2.5,Stim\\02_028.jpg,Al28_27,Alegría,27,Claudia informa los avances en el reporte.,Afirmación,Al28,28,1.0,'2',1.73337304592,1.7333730459213257,0.0,'1',1.7798666954,1.7798666954040527,0.0,28.0
2.5,Stim\\02_028.jpg,Al28_20,Alegría,20,Karen analiza la idea.,Afirmación,Al28,28,1.0,'2',1.61681568623,1.6168156862258911,0.0,'1',0.875273644924,0.8752736449241638,0.0,29.0
